metric,i,rtt_ms
ack,1023,0.2254
ack,1024,0.2280
ack,1025,0.2169
ack,1026,0.2226
ack,1027,0.2071
ack,1028,0.2200
ack,1029,0.2160
ack,1030,0.2238
ack,1031,0.2130
ack,1032,0.2153
ack,1033,0.2185
ack,1034,0.2837
ack,1035,0.2560
ack,1036,0.2393
ack,1037,0.2395
ack,1038,0.2330
ack,1039,0.2400
ack,1040,0.5800
ack,1041,0.4821
ack,1042,0.6189
ack,1043,0.6006
ack,1044,0.2893
ack,1045,0.2367
ack,1046,0.2381
ack,1047,0.2333
ack,1048,0.2091
ack,1049,0.2374
ack,1050,0.2340
ack,1051,0.2261
ack,1052,0.2235
ack,1053,0.2207
ack,1054,0.2280
ack,1055,0.2231
ack,1056,0.2092
ack,1057,0.2750
ack,1058,0.2453
ack,1059,0.2126
ack,1060,0.2215
ack,1061,0.2320
ack,1062,0.5466
ack,1063,0.6204
ack,1064,0.5937
ack,1065,0.2720
ack,1066,0.5636
ack,1067,0.2962
ack,1068,0.2467
ack,1069,0.2457
ack,1070,0.2477
ack,1071,0.5515
ack,1072,0.2769
ack,1073,0.2373
ack,1074,0.2382
ack,1075,0.2423
ack,1076,0.2134
ack,1077,0.2151
ack,1078,0.2283
ack,1079,0.2366
ack,1080,0.2677
ack,1081,0.2486
ack,1082,0.2377
ack,1083,0.2113
ack,1084,0.2258
ack,1085,0.2044
ack,1086,0.2179
ack,1087,0.2299
ack,1088,0.2508
ack,1089,0.2215
ack,1090,0.2367
ack,1091,0.2129
ack,1092,0.2216
ack,1093,0.2176
ack,1094,0.2142
ack,1095,0.2139
ack,1096,0.2348
ack,1097,0.5720
ack,1098,0.5802
ack,1099,0.5466
ack,1100,0.5995
ack,1101,0.5911
ack,1102,0.5966
ack,1103,0.5973
ack,1104,0.2700
ack,1105,0.2188
ack,1106,0.2528
ack,1107,0.2159
ack,1108,0.2114
ack,1109,0.2129
ack,1110,0.2206
ack,1111,0.2472
ack,1112,0.2341
ack,1113,0.2217
ack,1114,0.2068
ack,1115,0.2136
ack,1116,0.2080
ack,1117,0.2277
ack,1118,0.3521
ack,1119,0.2401
ack,1120,0.5485
ack,1121,0.6077
ack,1122,0.5953
ack,1123,0.5958
ack,1124,0.6084
ack,1125,0.2583
ack,1126,0.2511
ack,1127,0.2477
ack,1128,0.2132
ack,1129,0.2201
ack,1130,0.2736
ack,1131,0.2661
ack,1132,0.2420
ack,1133,0.2429
ack,1134,0.2189
ack,1135,0.2324
ack,1136,0.5820
ack,1137,0.6068
ack,1138,0.6007
ack,1139,0.5983
ack,1140,0.2806
ack,1141,0.2230
ack,1142,0.2294
ack,1143,0.2435
ack,1144,0.2382
ack,1145,0.2197
ack,1146,0.2495
ack,1147,0.2400
ack,1148,0.2212
ack,1149,0.2230
ack,1150,0.2550
ack,1151,0.2381
ack,1152,0.2374
ack,1153,0.2200
ack,1154,0.2372
ack,1155,0.2268
ack,1156,0.2209
ack,1157,0.2140
ack,1158,0.2195
ack,1159,0.2258
ack,1160,0.2099
ack,1161,0.2148
ack,1162,0.2399
ack,1163,0.2291
ack,1164,0.2008
ack,1165,0.2209
ack,1166,0.2302
ack,1167,0.2014
ack,1168,0.2197
ack,1169,0.2226
ack,1170,0.2102
ack,1171,0.2021
ack,1172,0.2353
ack,1173,0.2296
ack,1174,0.2031
ack,1175,0.2104
ack,1176,0.2171
ack,1177,0.2504
ack,1178,0.2466
ack,1179,0.2590
ack,1180,0.2656
ack,1181,0.2500
ack,1182,0.5604
ack,1183,0.5918
ack,1184,0.5980
ack,1185,0.5947
ack,1186,0.2710
ack,1187,0.2473
ack,1188,0.2147
ack,1189,0.2485
ack,1190,0.2161
ack,1191,0.5988
ack,1192,0.5820
ack,1193,0.5863
ack,1194,0.5823
ack,1195,0.5925
ack,1196,0.2625
ack,1197,0.5573
ack,1198,0.5927
ack,1199,0.5923
ack,1200,0.5980
ack,1201,0.2632
ack,1202,0.5580
ack,1203,0.5927
ack,1204,0.6563
ack,1205,0.5912
ack,1206,0.5933
ack,1207,0.2734
ack,1208,0.2577
ack,1209,0.2111
ack,1210,0.2043
ack,1211,0.2547
ack,1212,0.2155
ack,1213,0.2108
ack,1214,0.2160
ack,1215,0.2387
ack,1216,0.2301
ack,1217,0.2124
ack,1218,0.2235
ack,1219,0.2100
ack,1220,0.2134
ack,1221,0.2106
ack,1222,0.2126
ack,1223,0.2131
ack,1224,0.2236
ack,1225,0.2206
ack,1226,0.2817
ack,1227,0.2543
ack,1228,0.2150
ack,1229,0.2106
ack,1230,0.2201
ack,1231,0.2061
ack,1232,0.2231
ack,1233,0.2918
ack,1234,0.2982
ack,1235,0.2265
ack,1236,0.2186
ack,1237,0.2412
ack,1238,0.2198
ack,1239,0.2067
ack,1240,0.2180
ack,1241,0.2104
ack,1242,0.2185
ack,1243,0.2355
ack,1244,0.2269
ack,1245,0.2240
ack,1246,0.2120
ack,1247,0.2228
ack,1248,0.2125
ack,1249,0.2741
ack,1250,0.2302
ack,1251,0.2191
ack,1252,0.2203
ack,1253,0.2487
ack,1254,0.2456
ack,1255,0.2170
ack,1256,0.2306
ack,1257,0.2397
ack,1258,0.2280
ack,1259,0.2366
ack,1260,0.2501
ack,1261,0.2134
ack,1262,0.3636
ack,1263,0.4214
ack,1264,0.2882
ack,1265,0.2471
ack,1266,0.2283
ack,1267,0.2547
ack,1268,0.2524
ack,1269,0.2381
ack,1270,0.2360
ack,1271,0.2403
ack,1272,0.2257
ack,1273,0.2942
ack,1274,0.2388
ack,1275,0.2349
ack,1276,0.2479
ack,1277,0.2475
ack,1278,0.3094
ack,1279,0.2520
ack,1280,0.2406
ack,1281,0.3007
ack,1282,0.2504
ack,1283,0.2348
ack,1284,0.2622
ack,1285,0.2602
ack,1286,0.2498
ack,1287,0.2393
ack,1288,0.2479
ack,1289,0.2059
ack,1290,0.2674
ack,1291,0.2600
ack,1292,0.2399
ack,1293,0.2472
ack,1294,0.2314
ack,1295,0.2548
ack,1296,0.2384
ack,1297,0.2316
ack,1298,0.2518
ack,1299,0.2586
ack,1300,0.2160
ack,1301,0.2733
ack,1302,0.2498
ack,1303,0.2207
ack,1304,0.2377
ack,1305,0.2870
ack,1306,0.2397
ack,1307,0.2732
ack,1308,0.2295
ack,1309,0.2656
ack,1310,0.2480
ack,1311,0.2450
ack,1312,0.2441
ack,1313,0.2346
ack,1314,0.2333
ack,1315,0.2459
ack,1316,0.2546
ack,1317,0.2176
ack,1318,0.2307
ack,1319,0.2562
ack,1320,0.2473
ack,1321,0.2626
ack,1322,0.2277
ack,1323,0.2918
ack,1324,0.2597
ack,1325,0.2425
ack,1326,0.2369
ack,1327,0.2292
ack,1328,0.2412
ack,1329,0.2552
ack,1330,0.2718
ack,1331,0.2233
ack,1332,0.2268
ack,1333,0.2543
ack,1334,0.2335
ack,1335,0.2402
ack,1336,0.2125
ack,1337,0.2596
ack,1338,0.2539
ack,1339,0.2259
ack,1340,0.2625
ack,1341,0.2380
ack,1342,0.2444
ack,1343,0.2599
ack,1344,0.2364
ack,1345,0.2273
ack,1346,0.3539
ack,1347,0.2889
ack,1348,0.2360
ack,1349,0.2514
ack,1350,0.2145
ack,1351,0.2139
ack,1352,0.2104
ack,1353,0.2325
ack,1354,0.2411
ack,1355,0.2624
ack,1356,0.2401
ack,1357,0.2651
